,subject,task_number,cross_val_score,lda_name,baseline_corrected,csp_n_components
0,1,0,0.8357142857142857,classic,1.0,4
0,2,0,0.8142857142857144,classic,1.0,4
0,3,0,0.7357142857142857,classic,1.0,4
0,4,0,0.9857142857142858,classic,1.0,4
0,5,0,0.9642857142857142,classic,1.0,4
0,6,0,0.8857142857142858,classic,1.0,4
0,7,0,0.9285714285714286,classic,1.0,4
0,8,0,0.9,classic,1.0,4
0,9,0,0.9142857142857144,classic,1.0,4
0,10,0,0.7857142857142856,classic,1.0,4
0,11,0,0.7714285714285714,classic,1.0,4
0,12,0,0.9285714285714286,classic,1.0,4
0,13,0,0.9928571428571429,classic,1.0,4
0,14,0,0.9642857142857144,classic,1.0,4
0,15,0,0.9714285714285715,classic,1.0,4
0,16,0,0.8285714285714285,classic,1.0,4
0,17,0,0.9571428571428571,classic,1.0,4
0,18,0,0.9428571428571428,classic,1.0,4
0,19,0,0.8928571428571429,classic,1.0,4
0,20,0,0.8076923076923077,classic,1.0,4
0,1,1,0.7285714285714286,classic,1.0,4
0,2,1,0.8499999999999999,classic,1.0,4
0,3,1,0.6642857142857143,classic,1.0,4
0,4,1,0.9714285714285715,classic,1.0,4
0,5,1,0.6769230769230768,classic,1.0,4
0,6,1,0.6214285714285714,classic,1.0,4
0,7,1,0.7714285714285714,classic,1.0,4
0,8,1,0.6785714285714286,classic,1.0,4
0,9,1,0.5785714285714285,classic,1.0,4
0,10,1,0.6428571428571429,classic,1.0,4
0,11,1,0.6857142857142857,classic,1.0,4
0,12,1,0.7307692307692308,classic,1.0,4
0,13,1,0.7857142857142858,classic,1.0,4
0,14,1,0.7357142857142858,classic,1.0,4
0,15,1,0.8714285714285713,classic,1.0,4
0,16,1,0.5857142857142856,classic,1.0,4
0,17,1,0.7928571428571428,classic,1.0,4
0,18,1,0.6428571428571428,classic,1.0,4
0,19,1,0.5642857142857143,classic,1.0,4
0,20,1,0.7214285714285713,classic,1.0,4
0,1,2,0.9642857142857142,classic,1.0,4
0,2,2,0.9000000000000001,classic,1.0,4
0,3,2,0.6857142857142857,classic,1.0,4
0,4,2,0.95,classic,1.0,4
0,5,2,0.8785714285714287,classic,1.0,4
0,6,2,0.85,classic,1.0,4
0,7,2,0.9714285714285715,classic,1.0,4
0,8,2,0.9428571428571428,classic,1.0,4
0,9,2,0.9928571428571429,classic,1.0,4
0,10,2,0.9571428571428573,classic,1.0,4
0,11,2,0.7071428571428571,classic,1.0,4
0,12,2,0.9785714285714286,classic,1.0,4
0,13,2,0.8428571428571429,classic,1.0,4
0,14,2,0.9615384615384617,classic,1.0,4
0,15,2,0.9857142857142858,classic,1.0,4
0,16,2,0.9214285714285715,classic,1.0,4
0,17,2,0.9214285714285714,classic,1.0,4
0,18,2,0.9428571428571428,classic,1.0,4
0,19,2,0.8714285714285713,classic,1.0,4
0,20,2,0.7769230769230768,classic,1.0,4
0,1,3,0.8384615384615384,classic,1.0,4
0,2,3,0.7214285714285714,classic,1.0,4
0,3,3,0.7307692307692308,classic,1.0,4
0,4,3,0.9428571428571428,classic,1.0,4
0,5,3,0.6142857142857143,classic,1.0,4
0,6,3,0.5214285714285715,classic,1.0,4
0,7,3,0.9,classic,1.0,4
0,8,3,0.8714285714285716,classic,1.0,4
0,9,3,0.6357142857142857,classic,1.0,4
0,10,3,0.8285714285714286,classic,1.0,4
0,11,3,0.65,classic,1.0,4
0,12,3,0.8714285714285713,classic,1.0,4
0,13,3,0.8357142857142857,classic,1.0,4
0,14,3,0.7142857142857142,classic,1.0,4
0,15,3,0.9,classic,1.0,4
0,16,3,0.6142857142857143,classic,1.0,4
0,17,3,0.8428571428571429,classic,1.0,4
0,18,3,0.7428571428571428,classic,1.0,4
0,19,3,0.5428571428571429,classic,1.0,4
0,20,3,0.7357142857142858,classic,1.0,4
0,1,0,0.8142857142857143,classic,,4
0,2,0,0.8714285714285713,classic,,4
0,3,0,0.6642857142857144,classic,,4
0,4,0,0.9642857142857142,classic,,4
0,5,0,0.9357142857142857,classic,,4
0,6,0,0.8857142857142858,classic,,4
0,7,0,0.8857142857142858,classic,,4
0,8,0,0.8285714285714286,classic,,4
0,9,0,0.9285714285714286,classic,,4
0,10,0,0.7785714285714285,classic,,4
0,11,0,0.75,classic,,4
0,12,0,0.9071428571428573,classic,,4
0,13,0,0.9714285714285715,classic,,4
0,14,0,0.9571428571428571,classic,,4
0,15,0,0.9642857142857142,classic,,4
0,16,0,0.8571428571428571,classic,,4
0,17,0,0.9428571428571428,classic,,4
0,18,0,0.9571428571428571,classic,,4
0,19,0,0.9071428571428573,classic,,4
0,20,0,0.8153846153846155,classic,,4
0,1,1,0.6928571428571428,classic,,4
0,2,1,0.7928571428571428,classic,,4
0,3,1,0.7214285714285715,classic,,4
0,4,1,0.9857142857142858,classic,,4
0,5,1,0.7538461538461538,classic,,4
0,6,1,0.6642857142857144,classic,,4
0,7,1,0.7642857142857143,classic,,4
0,8,1,0.7071428571428571,classic,,4
0,9,1,0.5999999999999999,classic,,4
0,10,1,0.6142857142857143,classic,,4
0,11,1,0.6571428571428571,classic,,4
0,12,1,0.7692307692307692,classic,,4
0,13,1,0.7642857142857145,classic,,4
0,14,1,0.7214285714285713,classic,,4
0,15,1,0.8928571428571429,classic,,4
0,16,1,0.6785714285714286,classic,,4
0,17,1,0.8571428571428571,classic,,4
0,18,1,0.6571428571428571,classic,,4
0,19,1,0.5928571428571429,classic,,4
0,20,1,0.8357142857142857,classic,,4
0,1,2,0.9714285714285715,classic,,4
0,2,2,0.9230769230769231,classic,,4
0,3,2,0.6714285714285715,classic,,4
0,4,2,0.9571428571428571,classic,,4
0,5,2,0.8428571428571429,classic,,4
0,6,2,0.85,classic,,4
0,7,2,0.9857142857142858,classic,,4
0,8,2,0.9071428571428573,classic,,4
0,9,2,0.9857142857142858,classic,,4
0,10,2,0.9642857142857142,classic,,4
0,11,2,0.6500000000000001,classic,,4
0,12,2,0.9714285714285715,classic,,4
0,13,2,0.8142857142857143,classic,,4
0,14,2,0.9692307692307693,classic,,4
0,15,2,0.9928571428571429,classic,,4
0,16,2,0.9142857142857143,classic,,4
0,17,2,0.9142857142857143,classic,,4
0,18,2,0.9214285714285715,classic,,4
0,19,2,0.8571428571428571,classic,,4
